Replicate;mean.fitness;mean.learning.rate;mean.learning.episodes;mean.best.fitness;performance;environmental.mean.location;lifespan;env_sd;env_change;change_rate;learning_prop_life;fitness_prop_life
13;351.2238755;0.568484276;10;375.2361155;0.936013824;0.02399799;500;0.25;0.1;1;0.02;0.702447751
14;336.2142141;0.295553023;10;375.6209306;0.895087644;0.0532087;500;0.25;0.1;1;0.02;0.672428428
15;349.4698011;0.561153737;10;375.2948131;0.931161071;-0.001675388;500;0.25;0.1;1;0.02;0.698939602
16;349.9115431;0.475374127;10;375.4946052;0.931864334;-0.004026371;500;0.25;0.1;1;0.02;0.699823086
17;354.2318135;0.674845698;10;375.5311827;0.943285288;-0.0317509;500;0.25;0.1;1;0.02;0.708463627
18;353.2400211;0.59759502;10;375.4929416;0.940711979;-0.030064004;500;0.25;0.1;1;0.02;0.706480042
19;353.5705374;0.634610893;10;375.427506;0.941798706;0.047985687;500;0.25;0.1;1;0.02;0.707141075
0;352.3663118;0.629040831;10;375.5475758;0.938257556;-0.036293055;500;0.25;0.25;1;0.02;0.704732624
1;353.1530415;0.625494985;10;375.5734501;0.940303418;0.012488261;500;0.25;0.25;1;0.02;0.706306083
2;347.5284931;0.53487016;10;375.4778893;0.925549878;-0.04236264;500;0.25;0.25;1;0.02;0.695056986
3;350.3133497;0.547396945;10;375.3951212;0.933169781;0.008294381;500;0.25;0.25;1;0.02;0.700626699
4;344.6037403;0.362125788;10;375.4642232;0.917780344;-0.01276716;500;0.25;0.25;1;0.02;0.689207481
5;350.9563355;0.630300393;10;375.357216;0.93497927;0.039916492;500;0.25;0.25;1;0.02;0.701912671
6;334.6138522;0.437814217;10;375.3515301;0.89141663;0.023114984;500;0.25;0.25;1;0.02;0.669227704
7;334.9094273;0.573680511;10;375.4739563;0.891982477;-0.016198138;500;0.25;0.25;1;0.02;0.669818855
8;353.0350407;0.638034169;10;375.486656;0.940199307;0.011496811;500;0.25;0.25;1;0.02;0.706070081
9;350.2671947;0.612293102;10;375.3743045;0.93311124;-0.008648058;500;0.25;0.25;1;0.02;0.700534389
10;349.7719809;0.638387126;10;375.3780245;0.931786238;0.012106136;500;0.25;0.25;1;0.02;0.699543962
11;349.2187147;0.503787224;10;375.5245632;0.929914128;-0.017497721;500;0.25;0.25;1;0.02;0.698437429
12;352.04311;0.575834268;10;375.4541508;0.937611576;0.040898765;500;0.25;0.25;1;0.02;0.70408622
13;349.5221603;0.517505872;10;375.4621297;0.93089949;-0.02305201;500;0.25;0.25;1;0.02;0.699044321
14;351.3153547;0.583508756;10;375.4886624;0.935649569;-0.035183458;500;0.25;0.25;1;0.02;0.702630709
15;352.6752007;0.683918815;10;375.6950635;0.93872634;-0.017575388;500;0.25;0.25;1;0.02;0.705350401
16;350.039266;0.614453264;10;375.4988638;0.932189082;0.00763967;500;0.25;0.25;1;0.02;0.700078532
17;347.300815;0.537851508;10;375.4214677;0.925093225;-0.030351785;500;0.25;0.25;1;0.02;0.69460163
18;350.2869877;0.661493435;10;375.4116445;0.933062806;-0.003620701;500;0.25;0.25;1;0.02;0.700573975
19;347.6081405;0.531359994;10;375.4099835;0.92593088;0.03004216;500;0.25;0.25;1;0.02;0.695216281
0;354.3879867;0.624332792;10;375.3107554;0.944240018;-0.006187601;500;0.25;0.4;1;0.02;0.708775973
1;351.2246742;0.562577756;10;375.3816119;0.93563537;0.038189168;500;0.25;0.4;1;0.02;0.702449348
2;348.5976309;0.585293713;10;375.522618;0.928309536;0.00808736;500;0.25;0.4;1;0.02;0.697195262
3;351.7267546;0.529286448;10;375.4486289;0.936815873;-0.031455619;500;0.25;0.4;1;0.02;0.703453509
4;350.7409527;0.577179766;10;375.4292102;0.934237406;0.01068284;500;0.25;0.4;1;0.02;0.701481905
5;342.3943002;0.375431968;10;375.4970944;0.911814235;-0.019077295;500;0.25;0.4;1;0.02;0.6847886
6;349.4249463;0.696459507;10;375.2746668;0.93110213;0.008664575;500;0.25;0.4;1;0.02;0.698849893
7;351.9539817;0.587333962;10;375.5541389;0.937158903;-0.010796282;500;0.25;0.4;1;0.02;0.703907963
8;347.0519786;0.569577986;10;375.4767396;0.924307394;-0.019653189;500;0.25;0.4;1;0.02;0.694103957
9;348.5967865;0.626581079;10;375.2223463;0.929031708;-0.010898058;500;0.25;0.4;1;0.02;0.697193573
10;347.0853703;0.561505072;10;375.181364;0.925067303;-0.007450505;500;0.25;0.4;1;0.02;0.694170741
11;349.0680007;0.488670488;10;375.6078445;0.929321811;-0.022895987;500;0.25;0.4;1;0.02;0.698136001
12;351.6418462;0.554612945;10;375.3939425;0.93671619;-0.004044649;500;0.25;0.4;1;0.02;0.703283692
13;351.3913966;0.495150458;10;375.581924;0.935583949;-0.00610201;500;0.25;0.4;1;0.02;0.702782793
14;350.8500697;0.631084929;10;375.332585;0.934779159;0.01540933;500;0.25;0.4;1;0.02;0.701700139
15;349.1325312;0.602364524;10;375.6472204;0.929377542;-0.005475388;500;0.25;0.4;1;0.02;0.698265062
16;343.8444152;0.38137438;10;375.4121031;0.91593306;-0.002725851;500;0.25;0.4;1;0.02;0.68768883
17;351.6429124;0.626476686;10;375.517295;0.936394672;0.025048215;500;0.25;0.4;1;0.02;0.703285825
18;355.4993266;0.596107066;10;375.4580022;0.946783438;-0.008170701;500;0.25;0.4;1;0.02;0.710998653
19;351.3099905;0.564776019;10;375.3140642;0.936022921;-0.00290784;500;0.25;0.4;1;0.02;0.702619981
